iter	Logloss
0	0.6598029801
1	0.6444335809
2	0.6173722794
3	0.5993532591
4	0.5873977726
5	0.5788032113
6	0.5700813648
7	0.5628633781
8	0.5534595216
9	0.5438028971
10	0.5358603433
11	0.5290485495
12	0.5234681785
13	0.517380984
14	0.509979409
15	0.5042853376
16	0.4982850924
17	0.4914777088
18	0.4876198748
19	0.4844675829
20	0.4741044829
21	0.4681553257
22	0.4639589656
23	0.4607272249
24	0.4567744903
25	0.451967682
26	0.4488165167
27	0.4450725443
28	0.4422654422
29	0.4362580505
30	0.4333674757
31	0.4291390206
32	0.4256313662
33	0.4220766156
34	0.4184485327
35	0.4135879323
36	0.4115129302
37	0.4069245737
38	0.4016685325
39	0.3985596347
40	0.3942005463
41	0.3921074525
42	0.385671688
43	0.3789746248
44	0.3774403439
45	0.3737618491
46	0.3720259204
47	0.3704207537
48	0.3658407348
49	0.3629189986
50	0.3616917606
51	0.359776686
52	0.3553907821
53	0.3536566883
54	0.3517881627
55	0.3509305157
56	0.3491738235
57	0.3467797388
58	0.342666626
59	0.3410365109
60	0.3395231223
61	0.3386976347
62	0.3369445479
63	0.3363886322
64	0.3345373612
65	0.3304684474
66	0.3268348919
67	0.3243940007
68	0.3238630657
69	0.321266625
70	0.319044089
71	0.3183621113
72	0.3168515877
73	0.3160483767
74	0.3123605141
75	0.3106733877
76	0.3088521515
77	0.30617726
78	0.3054032145
79	0.3031395699
80	0.3022854962
81	0.3000374001
82	0.2989590802
83	0.2979948148
84	0.2967074752
85	0.2961246796
86	0.2939340455
87	0.2921599054
88	0.2897748022
89	0.2873635594
90	0.2854010023
91	0.2848840062
92	0.2836554161
93	0.2826619531
94	0.282341776
95	0.2796730009
96	0.2774710675
97	0.2755604354
98	0.2747207835
99	0.2743573088
100	0.2731381831
101	0.2719821849
102	0.2706622997
103	0.2695212062
104	0.2670851921
105	0.2662544733
106	0.2642275653
107	0.2620345329
108	0.2617471751
109	0.260462604
110	0.2599846723
111	0.2590600348
112	0.2583813889
113	0.2577129316
114	0.257099055
115	0.2560652399
116	0.2547795581
117	0.2544675095
118	0.2524049654
119	0.2510131965
120	0.249223347
121	0.2488553494
122	0.2468681496
123	0.2456146272
124	0.2447166765
125	0.244281302
126	0.2427007136
127	0.2410858412
128	0.2403814581
129	0.2394348821
130	0.2387768709
131	0.2379562764
132	0.2371454038
133	0.2366216796
134	0.2358740312
135	0.2355275375
136	0.2338684501
137	0.2297813319
138	0.2282796449
139	0.2268666617
140	0.2263901465
141	0.2259932892
142	0.2254560285
143	0.2237242204
144	0.2226702533
145	0.221936576
146	0.2209218665
147	0.2207041551
148	0.2196270746
149	0.218681094
150	0.2177588225
151	0.2174599724
152	0.2172613989
153	0.2170991696
154	0.2167438233
155	0.2160633908
156	0.2156235256
157	0.2133117064
158	0.2131334941
159	0.2122350926
160	0.2120834383
161	0.2113405542
162	0.2097309933
163	0.2084990232
164	0.2079814154
165	0.2069242453
166	0.2057602959
167	0.205595443
168	0.2054163615
169	0.2052321293
170	0.2039114554
171	0.2027777177
172	0.2009270584
173	0.2007971011
174	0.2005854578
175	0.2002734897
176	0.1998391614
177	0.1985740179
178	0.1975726196
179	0.1967603466
180	0.1966757634
181	0.1958743872
182	0.1954678725
183	0.1947861523
184	0.1928432159
185	0.1922101532
186	0.1917766297
187	0.1907430077
188	0.1901634957
189	0.1896766308
190	0.1888543624
191	0.1886915859
192	0.1883443197
193	0.1880925335
194	0.1875819114
195	0.1873719099
196	0.1870141975
197	0.1864189277
198	0.1863180072
199	0.1856320055
